2025-04-22 17:31:27.928 | INFO     | testcases.conftest:env_setup:24 - 当前测试环境: dev
2025-04-22 17:31:27.933 | INFO     | utils.MysqlUtil:__init__:36 - 数据库管理器初始化完成，运行时模式: False
2025-04-22 17:31:27.934 | INFO     | utils.MysqlUtil:__init__:36 - 数据库管理器初始化完成，运行时模式: False
2025-04-22 17:31:27.937 | INFO     | utils.LogUtil:info:33 - 文件缓存命中：使用缓存的SCM初始化数据
2025-04-22 17:31:27.938 | DEBUG    | common.login_manager:login:47 - 使用默认账号: 17376596912
2025-04-22 17:31:28.472 | DEBUG    | common.login_manager:login:70 - 登录成功
2025-04-22 17:31:29.873 | INFO     | utils.LogUtil:info:33 - 测试类初始化完成
2025-04-22 17:31:29.963 | INFO     | testcases.SCM.base_test:setup_method:136 - 开始测试: test_01_query_order_type
2025-04-22 17:31:29.978 | INFO     | testcases.SCM.base_test:_make_request:155 - 发送请求: 查询订单类型
2025-04-22 17:31:30.134 | INFO     | test_00_so_config_check:test_01_query_order_type:87 - 找到STND记录, ID: 2101001
